,DAYS,STATION_LINE,TOTAL_TRAFFIC
3283,Wednesday,PELHAM BAY PARK 6,25205.0
2942,Wednesday,215 ST 1,25121.0
2954,Wednesday,25 ST R,24326.0
3074,Wednesday,BEACH 36 ST A,23964.0
3337,Wednesday,W 8 ST-AQUARIUM FQ,23931.0
3253,Wednesday,NASSAU ST G,23573.0
3142,Wednesday,CYPRESS HILLS J,23497.0
3159,Wednesday,EXCHANGE PLACE 1,23148.0
3295,Wednesday,RECTOR ST 1,22800.0
3053,Wednesday,ATLANTIC AV L,22294.0
3046,Wednesday,AQUEDUCT N.COND A,22230.0
3309,Wednesday,SMITH-9 ST FG,22147.0
3054,Wednesday,AVENUE H BQ,21791.0
3228,Wednesday,LACKAWANNA 1,20172.0
3044,Wednesday,ALABAMA AV J,19703.0
3037,Wednesday,9 AV D,19423.0
3149,Wednesday,E 143/ST MARY'S 6,17959.0
3328,Wednesday,TWENTY THIRD ST 1,17046.0
2971,Wednesday,36 ST MR,16955.0
3078,Wednesday,BEACH 90 ST AS,15620.0
2990,Wednesday,51 ST 6,14719.0
3302,Wednesday,ROCKAWAY PARK B AS,14465.0
3075,Wednesday,BEACH 44 ST A,13838.0
3255,Wednesday,NEPTUNE AV F,13602.0
3033,Wednesday,86 ST N,11795.0
3067,Wednesday,BAY PKWY F,10654.0
3199,Wednesday,HOWARD BCH JFK A,10087.0
3262,Wednesday,NEWARK C 1,9940.0
3215,Wednesday,JOURNAL SQUARE 1,9900.0
3308,Wednesday,SIMPSON ST 25,9748.0
3229,Wednesday,LAFAYETTE AV C,9397.0
3132,Wednesday,CLINTON-WASH AV G,9340.0
3079,Wednesday,BEACH 98 ST AS,8574.0
3157,Wednesday,ELMHURST AV MR,8289.0
3072,Wednesday,BEACH 105 ST AS,5693.0
2965,Wednesday,34 ST-HUDSON YD 7,5219.0
2889,Wednesday,121 ST JZ,5101.0
3326,Wednesday,TOMPKINSVILLE 1,4619.0
3096,Wednesday,BROAD CHANNEL AS,4409.0
3320,Wednesday,SUTTER AV-RUTLD 3,4033.0
3017,Wednesday,75 AV EF,2402.0
3011,Wednesday,7 AV FG,1731.0
3217,Wednesday,JUNIUS ST 3,1273.0
2938,Wednesday,20 AV N,1258.0
3273,Wednesday,ORCHARD BEACH 6,40.0
3284,Wednesday,PELHAM PKWY 25,32.0
2906,Wednesday,149/GRAND CONC 245,23.0
3047,Wednesday,AQUEDUCT RACETR A,21.0
3317,Wednesday,SUTPHIN BLVD F,19.0
2947,Wednesday,23 ST CE,15.0
3279,Wednesday,PARSONS BLVD F,14.0
2918,Wednesday,168 ST AC1,12.0
3322,Wednesday,THIRTY THIRD ST 1,11.0
2916,Wednesday,167 ST BD,11.0
2895,Wednesday,135 ST BC,11.0
3026,Wednesday,80 ST A,10.0
3205,Wednesday,INWOOD-207 ST A,7.0
3146,Wednesday,DITMAS AV F,6.0
3125,Wednesday,CHURCH AV FG,5.0
3058,Wednesday,AVENUE N F,2.0
2883,Wednesday,111 ST A,2.0
2908,Wednesday,15 ST-PROSPECT FG,1.0
3219,Wednesday,KINGS HWY BQ,1.0
