,DAYS,STATION_LINE,TOTAL_TRAFFIC
686,Monday,BEDFORD PK BLVD 4,70678.0
766,Monday,FLATBUSH AV-B.C 25,70373.0
719,Monday,CATHEDRAL PKWY 1,70190.0
744,Monday,CRESCENT ST JZ,69806.0
817,Monday,JEFFERSON ST L,69752.0
760,Monday,EASTN PKWY-MUSM 23,69357.0
703,Monday,BROADWAY G,69271.0
954,Monday,WOODLAWN 4,69243.0
496,Monday,125 ST 23,68910.0
809,Monday,INTERVALE AV 25,68845.0
502,Monday,138/GRAND CONC 45,68539.0
842,Monday,MARBLE HILL-225 1,68000.0
758,Monday,EAST BROADWAY F,67760.0
542,Monday,20 AV D,67714.0
841,Monday,LORIMER ST LG,67514.0
757,Monday,EAST 105 ST L,67464.0
827,Monday,KINGSBRIDGE RD 4,67396.0
627,Monday,79 ST D,67361.0
853,Monday,MT EDEN AV 4,66558.0
936,Monday,V.CORTLANDT PK 1,65937.0
944,Monday,WALL ST 23,65724.0
584,Monday,46 ST BLISS ST 7,65712.0
490,Monday,116 ST 23,65524.0
797,Monday,HALSEY ST J,65182.0
687,Monday,BEDFORD PK BLVD BD,65107.0
831,Monday,KNICKERBOCKER M,65046.0
872,Monday,NORTHERN BLVD MR,64749.0
564,Monday,3 AV L,64593.0
917,Monday,SPRING ST CE,64374.0
812,Monday,JAMAICA 179 ST F,64264.0
517,Monday,161/YANKEE STAD 4BD,63547.0
709,Monday,BUHRE AV 6,63312.0
555,Monday,231 ST 1,63305.0
537,Monday,182-183 STS BD,62992.0
700,Monday,BRIGHTON BEACH BQ,62609.0
558,Monday,25 AV D,62604.0
566,Monday,30 AV NQW,62587.0
932,Monday,TREMONT AV BD,62316.0
625,Monday,77 ST R,62225.0
698,Monday,BOWLING GREEN 45,62161.0
602,Monday,59 ST COLUMBUS 1ABCD,62062.0
892,Monday,PRESIDENT ST 25,62023.0
873,Monday,NORWOOD 205 ST D,61780.0
835,Monday,LEXINGTON AV/53 EM6,61631.0
544,Monday,207 ST 1,61539.0
646,Monday,96 ST BC,61088.0
630,Monday,8 ST-NYU NRW,60740.0
533,Monday,18 AV N,60543.0
865,Monday,NEW UTRECHT AV ND,60505.0
934,Monday,UNION ST R,59661.0
614,Monday,7 AV BDE,59557.0
518,Monday,161/YANKEE STAD BD4,59152.0
918,Monday,ST LAWRENCE AV 6,59051.0
508,Monday,145 ST 1,58520.0
527,Monday,174 ST 25,58451.0
609,Monday,65 ST MR,57589.0
699,Monday,BRIARWOOD EF,57003.0
549,Monday,225 ST 25,56509.0
721,Monday,CENTRAL AV M,56457.0
594,Monday,50 ST D,56381.0
951,Monday,WINTHROP ST 25,56164.0
805,Monday,HOYT ST 23,56056.0
728,Monday,CHURCH AV 25,55648.0
844,Monday,METROPOLITAN AV GL,55261.0
635,Monday,86 ST 1,54967.0
530,Monday,176 ST 4,54926.0
899,Monday,RALPH AV C,54837.0
498,Monday,125 ST ACBD,54173.0
912,Monday,SHEPHERD AV C,54155.0
905,Monday,ROCKAWAY AV C,53741.0
696,Monday,BOTANIC GARDEN S2345,52920.0
904,Monday,ROCKAWAY AV 3,52845.0
843,Monday,MARCY AV JMZ,52554.0
641,Monday,88 ST A,52363.0
773,Monday,FOREST HILLS 71 EFMR,52165.0
939,Monday,VAN SICLEN AVE C,51770.0
789,Monday,GRAND ST L,51326.0
798,Monday,HALSEY ST L,51311.0
707,Monday,BROOK AV 6,51180.0
811,Monday,JACKSON AV 25,51065.0
604,Monday,59 ST NQR456W,51034.0
514,Monday,155 ST BD,50903.0
851,Monday,MORRIS PARK 5,50376.0
885,Monday,PATH NEW WTC 1,50320.0
668,Monday,AVENUE X F,50305.0
712,Monday,BUSHWICK AV L,50151.0
724,Monday,CHAMBERS ST ACE23,50011.0
573,Monday,34 ST-PENN STA ACE,49969.0
915,Monday,SOUTH FERRY 1RW,49913.0
617,Monday,71 ST D,49902.0
692,Monday,BEVERLY RD 25,49707.0
857,Monday,NASSAU AV G,49579.0
777,Monday,FREEMAN ST 25,49576.0
908,Monday,ROOSEVELT ISLND F,49200.0
693,Monday,BLEECKER ST 6DF,49056.0
678,Monday,BEACH 25 ST A,49004.0
556,Monday,233 ST 25,48982.0
855,Monday,MYRTLE-WILLOUGH G,48929.0
