,DAYS,STATION_LINE,TOTAL_TRAFFIC
2566,Tuesday,ALLERTON AV 25,75168.0
2786,Tuesday,NEWKIRK AV 25,74761.0
2748,Tuesday,KOSCIUSZKO ST J,74695.0
2682,Tuesday,FLATBUSH AV-B.C 25,74650.0
2866,Tuesday,WILSON AV L,74582.0
2418,Tuesday,138/GRAND CONC 45,74579.0
2635,Tuesday,CATHEDRAL PKWY 1,74394.0
2733,Tuesday,JEFFERSON ST L,74257.0
2412,Tuesday,125 ST 23,73869.0
2860,Tuesday,WALL ST 23,73566.0
2758,Tuesday,MARBLE HILL-225 1,73483.0
2602,Tuesday,BEDFORD PK BLVD 4,73133.0
2725,Tuesday,INTERVALE AV 25,72784.0
2870,Tuesday,WOODLAWN 4,72587.0
2769,Tuesday,MT EDEN AV 4,71832.0
2852,Tuesday,V.CORTLANDT PK 1,71301.0
2674,Tuesday,EAST BROADWAY F,71282.0
2751,Tuesday,LEXINGTON AV/53 EM6,71232.0
2713,Tuesday,HALSEY ST J,71219.0
2603,Tuesday,BEDFORD PK BLVD BD,71137.0
2673,Tuesday,EAST 105 ST L,70843.0
2833,Tuesday,SPRING ST CE,70490.0
2480,Tuesday,3 AV L,69943.0
2619,Tuesday,BROADWAY G,69798.0
2728,Tuesday,JAMAICA 179 ST F,69419.0
2802,Tuesday,PATH WTC 2 1,69328.0
2541,Tuesday,77 ST R,69307.0
2614,Tuesday,BOWLING GREEN 45,69208.0
2406,Tuesday,116 ST 23,68623.0
2543,Tuesday,79 ST D,68558.0
2530,Tuesday,7 AV BDE,68388.0
2500,Tuesday,46 ST BLISS ST 7,68383.0
2471,Tuesday,231 ST 1,68247.0
2743,Tuesday,KINGSBRIDGE RD 4,68119.0
2747,Tuesday,KNICKERBOCKER M,68086.0
2482,Tuesday,30 AV NQW,68060.0
2518,Tuesday,59 ST COLUMBUS 1ABCD,67920.0
2625,Tuesday,BUHRE AV 6,67848.0
2458,Tuesday,20 AV D,67113.0
2660,Tuesday,CRESCENT ST JZ,66793.0
2433,Tuesday,161/YANKEE STAD 4BD,66699.0
2789,Tuesday,NORWOOD 205 ST D,66656.0
2788,Tuesday,NORTHERN BLVD MR,66630.0
2848,Tuesday,TREMONT AV BD,66179.0
2808,Tuesday,PRESIDENT ST 25,65836.0
2616,Tuesday,BRIGHTON BEACH BQ,65514.0
2546,Tuesday,8 ST-NYU NRW,65435.0
2850,Tuesday,UNION ST R,65323.0
2562,Tuesday,96 ST BC,65096.0
2449,Tuesday,18 AV N,64826.0
2474,Tuesday,25 AV D,64748.0
2615,Tuesday,BRIARWOOD EF,64536.0
2781,Tuesday,NEW UTRECHT AV ND,64248.0
2424,Tuesday,145 ST 1,63984.0
