,DAYS,STATION_LINE,TOTAL_TRAFFIC
1666,Sunday,BROOKLYN BRIDGE 456JZ,9638.0
1442,Sunday,104 ST A,9440.0
1526,Sunday,33 ST-RAWSON ST 7,9385.0
1761,Sunday,HOUSTON ST 1,9357.0
1730,Sunday,FOREST AVE M,9279.0
1838,Sunday,PARK PLACE 23ACE,9278.0
1762,Sunday,HOWARD BCH JFK A,9270.0
1505,Sunday,215 ST 1,9233.0
1816,Sunday,NASSAU ST G,9001.0
1865,Sunday,ROCKAWAY PARK B AS,8888.0
1617,Sunday,AVENUE H BQ,8857.0
1809,Sunday,MORRIS PARK 5,8679.0
1872,Sunday,SMITH-9 ST FG,8550.0
1616,Sunday,ATLANTIC AV L,8364.0
1600,Sunday,9 AV D,8283.0
1690,Sunday,CITY HALL NRW,8189.0
1624,Sunday,AVENUE U F,8040.0
1607,Sunday,ALABAMA AV J,8013.0
1682,Sunday,CHAMBERS ST ACE23,7756.0
1736,Sunday,FRESH POND RD M,7749.0
1741,Sunday,FULTON ST ACJZ2345,7593.0
1638,Sunday,BEACH 44 ST A,7545.0
1596,Sunday,86 ST N,7518.0
1884,Sunday,THIRTY ST 1,7329.0
1791,Sunday,LACKAWANNA 1,7194.0
1846,Sunday,PELHAM BAY PARK 6,6986.0
1792,Sunday,LAFAYETTE AV C,6981.0
1705,Sunday,CYPRESS HILLS J,6980.0
1754,Sunday,GUN HILL RD 5,6775.0
1803,Sunday,METROPOLITAN AV M,6697.0
1609,Sunday,AQUEDUCT N.COND A,6518.0
1712,Sunday,E 143/ST MARY'S 6,6497.0
1722,Sunday,EXCHANGE PLACE 1,6224.0
1700,Sunday,COURT SQ EMG,6162.0
1695,Sunday,CLINTON-WASH AV G,5770.0
1642,Sunday,BEACH 98 ST AS,5067.0
1553,Sunday,51 ST 6,4898.0
1656,Sunday,BOWLING GREEN 45,4870.0
1634,Sunday,BAYCHESTER AV 5,4857.0
1720,Sunday,ELMHURST AV MR,4653.0
1889,Sunday,TOMPKINSVILLE 1,4119.0
1903,Sunday,WALL ST 45,3739.0
1848,Sunday,PELHAM PKWY 5,3710.0
1717,Sunday,EASTCHSTER/DYRE 5,3709.0
1630,Sunday,BAY PKWY F,3695.0
1758,Sunday,HARRISON 1,3646.0
1818,Sunday,NEPTUNE AV F,3418.0
1871,Sunday,SIMPSON ST 25,3249.0
1765,Sunday,HUNTERS PT AV 7,3226.0
1858,Sunday,RECTOR ST 1,3056.0
1528,Sunday,34 ST-HUDSON YD 7,3054.0
1778,Sunday,JOURNAL SQUARE 1,2970.0
1635,Sunday,BEACH 105 ST AS,2791.0
1534,Sunday,36 ST MR,2623.0
1891,Sunday,TWENTY THIRD ST 1,2424.0
1877,Sunday,ST. GEORGE 1,2150.0
1659,Sunday,BROAD CHANNEL AS,1954.0
1452,Sunday,121 ST JZ,1767.0
1580,Sunday,75 AV EF,1238.0
1883,Sunday,SUTTER AV-RUTLD 3,1062.0
1574,Sunday,7 AV FG,939.0
1501,Sunday,20 AV N,485.0
1780,Sunday,JUNIUS ST 3,381.0
1825,Sunday,NEWARK C 1,318.0
1836,Sunday,ORCHARD BEACH 6,99.0
1469,Sunday,149/GRAND CONC 245,45.0
1768,Sunday,INWOOD-207 ST A,30.0
1610,Sunday,AQUEDUCT RACETR A,25.0
1471,Sunday,15 ST-PROSPECT FG,8.0
1510,Sunday,23 ST CE,7.0
1481,Sunday,168 ST AC1,6.0
1458,Sunday,135 ST BC,6.0
1479,Sunday,167 ST BD,6.0
