,DAYS,STATION_LINE,TOTAL_TRAFFIC
2135,Thursday,BOWLING GREEN 45,72174.0
2051,Thursday,7 AV BDE,71987.0
1927,Thursday,116 ST 23,71968.0
2268,Thursday,KNICKERBOCKER M,71688.0
1992,Thursday,231 ST 1,71043.0
2062,Thursday,77 ST R,71040.0
2249,Thursday,JAMAICA 179 ST F,70739.0
2067,Thursday,8 ST-NYU NRW,70714.0
2195,Thursday,EAST BROADWAY F,70520.0
2146,Thursday,BUHRE AV 6,70466.0
1979,Thursday,20 AV D,70454.0
2064,Thursday,79 ST D,70360.0
2309,Thursday,NORTHERN BLVD MR,69836.0
2264,Thursday,KINGSBRIDGE RD 4,69670.0
2310,Thursday,NORWOOD 205 ST D,69119.0
1954,Thursday,161/YANKEE STAD 4BD,69027.0
1974,Thursday,182-183 STS BD,68965.0
2003,Thursday,30 AV NQW,68909.0
2083,Thursday,96 ST BC,68787.0
2369,Thursday,TREMONT AV BD,68629.0
2329,Thursday,PRESIDENT ST 25,67801.0
2021,Thursday,46 ST BLISS ST 7,67708.0
1995,Thursday,25 AV D,67199.0
2137,Thursday,BRIGHTON BEACH BQ,67139.0
1981,Thursday,207 ST 1,66696.0
1970,Thursday,18 AV N,66643.0
2371,Thursday,UNION ST R,66605.0
2136,Thursday,BRIARWOOD EF,66075.0
2355,Thursday,ST LAWRENCE AV 6,65608.0
1955,Thursday,161/YANKEE STAD BD4,65526.0
2302,Thursday,NEW UTRECHT AV ND,64818.0
1945,Thursday,145 ST 1,64329.0
2281,Thursday,METROPOLITAN AV GL,63687.0
2046,Thursday,65 ST MR,63509.0
1964,Thursday,174 ST 25,62024.0
1986,Thursday,225 ST 25,61864.0
2072,Thursday,86 ST 1,61338.0
2242,Thursday,HOYT ST 23,61096.0
2031,Thursday,50 ST D,60645.0
2133,Thursday,BOTANIC GARDEN S2345,60515.0
2165,Thursday,CHURCH AV 25,60514.0
1935,Thursday,125 ST ACBD,60275.0
2158,Thursday,CENTRAL AV M,59739.0
2342,Thursday,ROCKAWAY AV C,59673.0
2130,Thursday,BLEECKER ST 6DF,59631.0
2336,Thursday,RALPH AV C,59542.0
2341,Thursday,ROCKAWAY AV 3,59292.0
2388,Thursday,WINTHROP ST 25,59098.0
2288,Thursday,MORRIS PARK 5,59065.0
2352,Thursday,SOUTH FERRY 1RW,59045.0
2041,Thursday,59 ST NQR456W,58753.0
2226,Thursday,GRAND ST L,58383.0
2213,Thursday,FRANKLIN ST 1,57938.0
2164,Thursday,CHRISTOPHER ST 1,57937.0
2322,Thursday,PATH NEW WTC 1,57714.0
2349,Thursday,SHEPHERD AV C,57673.0
2210,Thursday,FOREST HILLS 71 EFMR,57231.0
2305,Thursday,NEWARK HM HE 1,57085.0
2078,Thursday,88 ST A,56964.0
2161,Thursday,CHAMBERS ST ACE23,56945.0
1967,Thursday,176 ST 4,56692.0
2105,Thursday,AVENUE X F,56496.0
2345,Thursday,ROOSEVELT ISLND F,56330.0
2144,Thursday,BROOK AV 6,56255.0
2010,Thursday,34 ST-PENN STA ACE,56001.0
2376,Thursday,VAN SICLEN AVE C,55897.0
2180,Thursday,COURT SQ-23 ST EMG,55889.0
2280,Thursday,MARCY AV JMZ,55856.0
2090,Thursday,ASTOR PL 6,55713.0
2162,Thursday,CHAMBERS ST JZ456,54941.0
2153,Thursday,CANARSIE-ROCKAW L,54725.0
2235,Thursday,HALSEY ST L,54451.0
2149,Thursday,BUSHWICK AV L,54389.0
2248,Thursday,JACKSON AV 25,54379.0
1993,Thursday,233 ST 25,53946.0
2128,Thursday,BEVERLEY ROAD BQ,53828.0
2214,Thursday,FREEMAN ST 25,53683.0
2129,Thursday,BEVERLY RD 25,53558.0
2292,Thursday,MYRTLE-WILLOUGH G,53398.0
2178,Thursday,COURT SQ 7,53036.0
1951,Thursday,155 ST BD,52916.0
2182,Thursday,CROWN HTS-UTICA 34,52819.0
2294,Thursday,NASSAU AV G,52786.0
2218,Thursday,FT HAMILTON PKY N,52667.0
2054,Thursday,71 ST D,52397.0
2111,Thursday,BAY RIDGE AV R,51978.0
2332,Thursday,PROSPECT AV R,51736.0
2014,Thursday,39 AV NQW,51408.0
2267,Thursday,KINGSTON-THROOP C,51407.0
2115,Thursday,BEACH 25 ST A,51031.0
2284,Thursday,MIDDLETOWN RD 6,50844.0
2253,Thursday,JAY ST-METROTEC R,50706.0
2071,Thursday,85 ST-FOREST PK J,50631.0
2240,Thursday,HOUSTON ST 1,50438.0
2119,Thursday,BEACH 67 ST A,50423.0
2159,Thursday,CENTRAL PK N110 23,50299.0
2142,Thursday,BROADWAY NQW,50259.0
2217,Thursday,FT HAMILTON PKY FG,50212.0
2277,Thursday,LORIMER ST JM,49564.0
2112,Thursday,BAY RIDGE-95 ST R,49556.0
2209,Thursday,FOREST AVE M,49533.0
2139,Thursday,BROAD ST JZ,48765.0
1985,Thursday,219 ST 25,48578.0
2134,Thursday,BOWERY JZ,48491.0
2357,Thursday,STEINWAY ST MR,48422.0
2238,Thursday,HEWES ST JM,48174.0
2163,Thursday,CHAUNCEY ST JZ,48148.0
2050,Thursday,69 ST 7,48139.0
2298,Thursday,NEREID AV 25,48104.0
2025,Thursday,4AV-9 ST DFGMNR,48067.0
2036,Thursday,57 ST F,47970.0
2101,Thursday,AVENUE P F,47847.0
2118,Thursday,BEACH 60 ST A,47615.0
2343,Thursday,ROCKAWAY BLVD A,47471.0
2147,Thursday,BURKE AV 25,47397.0
2382,Thursday,WALL ST 45,47190.0
2231,Thursday,GROVE STREET 1,46760.0
2192,Thursday,E 149 ST 6,46523.0
2392,Thursday,WORLD TRADE CTR ACE23,46396.0
2202,Thursday,FAR ROCKAWAY A,46224.0
2338,Thursday,RECTOR ST NRW,45834.0
2022,Thursday,46 ST MR,45526.0
2394,Thursday,ZEREGA AV 6,45299.0
2060,Thursday,75 ST-ELDERTS JZ,45051.0
2126,Thursday,BERGEN ST 23,44984.0
2389,Thursday,WOODHAVEN BLVD JZ,44718.0
