,DAYS,STATION_LINE,TOTAL_TRAFFIC
386,Friday,NEW UTRECHT AV ND,62337.0
54,Friday,18 AV N,62322.0
220,Friday,BRIARWOOD EF,62210.0
242,Friday,CENTRAL AV M,61911.0
326,Friday,HOYT ST 23,60999.0
70,Friday,225 ST 25,60953.0
48,Friday,174 ST 25,60800.0
19,Friday,125 ST ACBD,59947.0
156,Friday,86 ST 1,59621.0
420,Friday,RALPH AV C,59256.0
217,Friday,BOTANIC GARDEN S2345,59236.0
249,Friday,CHURCH AV 25,59035.0
425,Friday,ROCKAWAY AV 3,58764.0
472,Friday,WINTHROP ST 25,58732.0
221,Friday,BRIGHTON BEACH BQ,58313.0
214,Friday,BLEECKER ST 6DF,58278.0
426,Friday,ROCKAWAY AV C,57798.0
174,Friday,ASTOR PL 6,57577.0
310,Friday,GRAND ST L,57486.0
51,Friday,176 ST 4,56979.0
228,Friday,BROOK AV 6,56148.0
125,Friday,59 ST NQR456W,56089.0
433,Friday,SHEPHERD AV C,55475.0
199,Friday,BEACH 25 ST A,55334.0
319,Friday,HALSEY ST L,55035.0
364,Friday,MARCY AV JMZ,54621.0
332,Friday,JACKSON AV 25,54532.0
237,Friday,CANARSIE-ROCKAW L,54453.0
460,Friday,VAN SICLEN AVE C,54284.0
233,Friday,BUSHWICK AV L,53851.0
372,Friday,MORRIS PARK 5,53746.0
297,Friday,FRANKLIN ST 1,53566.0
429,Friday,ROOSEVELT ISLND F,53372.0
248,Friday,CHRISTOPHER ST 1,53075.0
294,Friday,FOREST HILLS 71 EFMR,52968.0
189,Friday,AVENUE X F,52919.0
264,Friday,COURT SQ-23 ST EMG,52686.0
162,Friday,88 ST A,52470.0
195,Friday,BAY RIDGE AV R,52377.0
436,Friday,SOUTH FERRY 1RW,52338.0
298,Friday,FREEMAN ST 25,52313.0
213,Friday,BEVERLY RD 25,52202.0
115,Friday,50 ST D,52137.0
212,Friday,BEVERLEY ROAD BQ,51873.0
376,Friday,MYRTLE-WILLOUGH G,51751.0
245,Friday,CHAMBERS ST ACE23,51750.0
416,Friday,PROSPECT AV R,51673.0
77,Friday,233 ST 25,51585.0
262,Friday,COURT SQ 7,51452.0
246,Friday,CHAMBERS ST JZ456,51403.0
35,Friday,155 ST BD,51239.0
441,Friday,STEINWAY ST MR,51035.0
138,Friday,71 ST D,50794.0
243,Friday,CENTRAL PK N110 23,50484.0
266,Friday,CROWN HTS-UTICA 34,50446.0
94,Friday,34 ST-PENN STA ACE,50322.0
98,Friday,39 AV NQW,50051.0
378,Friday,NASSAU AV G,50000.0
351,Friday,KINGSTON-THROOP C,49523.0
218,Friday,BOWERY JZ,49157.0
361,Friday,LORIMER ST JM,48771.0
302,Friday,FT HAMILTON PKY N,48296.0
69,Friday,219 ST 25,48023.0
247,Friday,CHAUNCEY ST JZ,48008.0
368,Friday,MIDDLETOWN RD 6,47749.0
301,Friday,FT HAMILTON PKY FG,47721.0
155,Friday,85 ST-FOREST PK J,47711.0
226,Friday,BROADWAY NQW,47686.0
