,DAYS,STATION_LINE,TOTAL_TRAFFIC
1295,Saturday,JAY ST-METROTEC R,19938.0
1024,Saturday,21 ST G,19875.0
1215,Saturday,CLINTON-WASH AV C,19475.0
1143,Saturday,AVENUE P F,19390.0
1417,Saturday,VAN SICLEN AV JZ,19201.0
1273,Saturday,GROVE STREET 1,19197.0
1255,Saturday,FRANKLIN ST 1,19011.0
1003,Saturday,169 ST F,18997.0
1185,Saturday,BRONX PARK EAST 25,18595.0
1036,Saturday,238 ST 1,18550.0
1316,Saturday,LIBERTY AV C,18512.0
971,Saturday,116 ST BC,18135.0
1338,Saturday,NECK RD BQ,18106.0
1181,Saturday,BROAD ST JZ,17937.0
1102,Saturday,75 ST-ELDERTS JZ,17908.0
1200,Saturday,CENTRAL AV M,17231.0
1325,Saturday,METS-WILLETS PT 7,17153.0
1428,Saturday,WHITLOCK AV 6,16707.0
1431,Saturday,WOODHAVEN BLVD JZ,16581.0
1047,Saturday,33 ST-RAWSON ST 7,16294.0
1423,Saturday,WALL ST 23,16285.0
1370,Saturday,PENNSYLVANIA AV 3,16228.0
1210,Saturday,CITY / BUS 1,16164.0
1314,Saturday,LEXINGTON AV/53 EM6,15984.0
1421,Saturday,W 8 ST-AQUARIUM FQ,15974.0
1364,Saturday,PATH NEW WTC 1,15751.0
1139,Saturday,AVENUE I F,15467.0
988,Saturday,145 ST 3,15288.0
1317,Saturday,LIVONIA AV L,15224.0
968,Saturday,111 ST J,15200.0
991,Saturday,14TH STREET 1,15034.0
1141,Saturday,AVENUE M BQ,14814.0
1393,Saturday,SMITH-9 ST FG,14671.0
1199,Saturday,CATHEDRAL PKWY BC,14669.0
1187,Saturday,BROOKLYN BRIDGE 456JZ,14053.0
1192,Saturday,CANAL ST 1,13967.0
1158,Saturday,BEACH 36 ST A,13965.0
1389,Saturday,SENECA AVE M,13888.0
964,Saturday,104 ST JZ,13618.0
1038,Saturday,25 ST R,13605.0
1337,Saturday,NASSAU ST G,13415.0
1358,Saturday,OZONE PK LEFFRT A,13381.0
1208,Saturday,CHURCH AV BQ,13319.0
963,Saturday,104 ST A,13038.0
1077,Saturday,55 ST D,12779.0
1359,Saturday,PARK PLACE 23ACE,12279.0
1052,Saturday,34 ST-PENN STA ACE,12140.0
1026,Saturday,215 ST 1,12071.0
1282,Saturday,HOUSTON ST 1,11917.0
1211,Saturday,CITY HALL NRW,11357.0
1251,Saturday,FOREST AVE M,11312.0
1137,Saturday,ATLANTIC AV L,11295.0
1330,Saturday,MORRIS PARK 5,11252.0
1138,Saturday,AVENUE H BQ,11059.0
1246,Saturday,FLUSHING AV G,10645.0
1257,Saturday,FRESH POND RD M,10199.0
1283,Saturday,HOWARD BCH JFK A,10115.0
1145,Saturday,AVENUE U F,10079.0
1121,Saturday,9 AV D,10006.0
1162,Saturday,BEACH 90 ST AS,9680.0
1367,Saturday,PELHAM BAY PARK 6,9662.0
1203,Saturday,CHAMBERS ST ACE23,9634.0
1128,Saturday,ALABAMA AV J,9535.0
1262,Saturday,FULTON ST ACJZ2345,9313.0
1324,Saturday,METROPOLITAN AV M,9154.0
1386,Saturday,ROCKAWAY PARK B AS,8831.0
1313,Saturday,LAFAYETTE AV C,8799.0
1275,Saturday,GUN HILL RD 5,8758.0
1159,Saturday,BEACH 44 ST A,8730.0
1117,Saturday,86 ST N,8511.0
1130,Saturday,AQUEDUCT N.COND A,8506.0
1405,Saturday,THIRTY ST 1,8162.0
1233,Saturday,E 143/ST MARY'S 6,8149.0
1226,Saturday,CYPRESS HILLS J,8086.0
1279,Saturday,HARRISON 1,7973.0
1221,Saturday,COURT SQ EMG,7878.0
1074,Saturday,51 ST 6,7764.0
1312,Saturday,LACKAWANNA 1,7340.0
1410,Saturday,TOMPKINSVILLE 1,7334.0
1243,Saturday,EXCHANGE PLACE 1,7163.0
1216,Saturday,CLINTON-WASH AV G,7144.0
1155,Saturday,BAYCHESTER AV 5,6387.0
1241,Saturday,ELMHURST AV MR,6086.0
1177,Saturday,BOWLING GREEN 45,5926.0
1369,Saturday,PELHAM PKWY 5,5393.0
1238,Saturday,EASTCHSTER/DYRE 5,5254.0
1424,Saturday,WALL ST 45,4828.0
1392,Saturday,SIMPSON ST 25,4423.0
1286,Saturday,HUNTERS PT AV 7,4306.0
1163,Saturday,BEACH 98 ST AS,4279.0
1151,Saturday,BAY PKWY F,4219.0
1299,Saturday,JOURNAL SQUARE 1,4030.0
1339,Saturday,NEPTUNE AV F,3989.0
1379,Saturday,RECTOR ST 1,3977.0
1049,Saturday,34 ST-HUDSON YD 7,3961.0
1055,Saturday,36 ST MR,3728.0
1412,Saturday,TWENTY THIRD ST 1,3453.0
1398,Saturday,ST. GEORGE 1,2728.0
973,Saturday,121 ST JZ,2319.0
1156,Saturday,BEACH 105 ST AS,2210.0
1180,Saturday,BROAD CHANNEL AS,2204.0
1401,Saturday,SUTPHIN BLVD F,2004.0
1101,Saturday,75 AV EF,1709.0
1404,Saturday,SUTTER AV-RUTLD 3,1294.0
1095,Saturday,7 AV FG,1088.0
1022,Saturday,20 AV N,653.0
1301,Saturday,JUNIUS ST 3,452.0
1346,Saturday,NEWARK C 1,250.0
